CPU,Time,GHz
3,2024-03-09 12:29:17.811528,2.948
0,2024-03-09 12:29:17.938266,2.676
1,2024-03-09 12:29:17.938269,2.278
2,2024-03-09 12:29:17.938271,2.398
3,2024-03-09 12:29:17.938272,2.814
0,2024-03-09 12:29:18.065654,2.753
1,2024-03-09 12:29:18.065658,2.782
2,2024-03-09 12:29:18.065659,2.519
3,2024-03-09 12:29:18.065660,2.777
0,2024-03-09 12:29:18.189699,2.844
1,2024-03-09 12:29:18.189703,2.827
2,2024-03-09 12:29:18.189704,2.692
3,2024-03-09 12:29:18.189705,2.698
0,2024-03-09 12:29:18.310178,2.844
1,2024-03-09 12:29:18.310181,2.956
2,2024-03-09 12:29:18.310182,2.676
3,2024-03-09 12:29:18.310183,2.716
0,2024-03-09 12:29:18.447044,2.850
1,2024-03-09 12:29:18.447049,2.820
2,2024-03-09 12:29:18.447050,2.410
3,2024-03-09 12:29:18.447051,2.720
0,2024-03-09 12:29:18.570712,2.835
1,2024-03-09 12:29:18.570715,2.604
2,2024-03-09 12:29:18.570716,2.794
3,2024-03-09 12:29:18.570717,2.737
0,2024-03-09 12:29:18.699018,3.185
1,2024-03-09 12:29:18.699022,2.889
2,2024-03-09 12:29:18.699024,2.652
3,2024-03-09 12:29:18.699025,2.534
0,2024-03-09 12:29:18.829995,2.729
1,2024-03-09 12:29:18.829998,2.718
2,2024-03-09 12:29:18.830000,2.688
3,2024-03-09 12:29:18.830001,2.602
0,2024-03-09 12:29:18.957159,2.693
1,2024-03-09 12:29:18.957162,2.803
2,2024-03-09 12:29:18.957164,2.796
3,2024-03-09 12:29:18.957165,2.655
0,2024-03-09 12:29:19.086097,2.768
1,2024-03-09 12:29:19.086100,3.031
2,2024-03-09 12:29:19.086101,2.977
3,2024-03-09 12:29:19.086103,2.821
0,2024-03-09 12:29:19.212551,2.846
1,2024-03-09 12:29:19.212555,2.878
2,2024-03-09 12:29:19.212556,2.536
3,2024-03-09 12:29:19.212558,2.627
0,2024-03-09 12:29:19.339166,2.627
1,2024-03-09 12:29:19.339170,2.772
2,2024-03-09 12:29:19.339172,2.735
3,2024-03-09 12:29:19.339173,2.636
0,2024-03-09 12:29:19.463011,2.677
1,2024-03-09 12:29:19.463016,3.054
2,2024-03-09 12:29:19.463017,2.669
3,2024-03-09 12:29:19.463018,2.786
0,2024-03-09 12:29:19.591989,2.645
