CPU,Time,GHz
84,2024-03-07 14:51:09.956856,0.000
85,2024-03-07 14:51:09.956857,0.000
86,2024-03-07 14:51:09.956858,0.000
87,2024-03-07 14:51:09.956859,0.000
88,2024-03-07 14:51:09.956860,0.001
89,2024-03-07 14:51:09.956861,0.000
90,2024-03-07 14:51:09.956861,0.001
91,2024-03-07 14:51:09.956862,0.000
92,2024-03-07 14:51:09.956867,0.000
93,2024-03-07 14:51:09.956867,0.000
94,2024-03-07 14:51:09.956868,0.000
95,2024-03-07 14:51:09.956869,0.001
0,2024-03-07 14:51:10.518487,0.008
1,2024-03-07 14:51:10.518492,0.002
2,2024-03-07 14:51:10.518493,0.002
3,2024-03-07 14:51:10.518494,0.001
4,2024-03-07 14:51:10.518495,0.000
5,2024-03-07 14:51:10.518497,0.002
6,2024-03-07 14:51:10.518498,0.001
7,2024-03-07 14:51:10.518499,0.001
8,2024-03-07 14:51:10.518500,0.001
9,2024-03-07 14:51:10.518501,0.001
10,2024-03-07 14:51:10.518502,0.001
11,2024-03-07 14:51:10.518502,0.001
12,2024-03-07 14:51:10.518506,0.002
13,2024-03-07 14:51:10.518507,0.001
14,2024-03-07 14:51:10.518508,0.001
15,2024-03-07 14:51:10.518509,0.001
16,2024-03-07 14:51:10.518510,0.001
17,2024-03-07 14:51:10.518512,0.001
18,2024-03-07 14:51:10.518512,0.001
19,2024-03-07 14:51:10.518513,0.001
20,2024-03-07 14:51:10.518514,0.003
21,2024-03-07 14:51:10.518515,0.001
22,2024-03-07 14:51:10.518516,0.001
23,2024-03-07 14:51:10.518517,0.001
24,2024-03-07 14:51:10.518517,0.001
25,2024-03-07 14:51:10.518518,0.001
26,2024-03-07 14:51:10.518522,0.001
27,2024-03-07 14:51:10.518523,0.001
28,2024-03-07 14:51:10.518524,0.000
29,2024-03-07 14:51:10.518525,0.001
30,2024-03-07 14:51:10.518526,0.001
31,2024-03-07 14:51:10.518528,0.001
32,2024-03-07 14:51:10.518528,0.001
33,2024-03-07 14:51:10.518529,0.001
34,2024-03-07 14:51:10.518530,0.001
35,2024-03-07 14:51:10.518531,0.001
36,2024-03-07 14:51:10.518532,0.001
37,2024-03-07 14:51:10.518533,0.001
38,2024-03-07 14:51:10.518534,0.001
39,2024-03-07 14:51:10.518534,0.001
40,2024-03-07 14:51:10.518535,0.001
41,2024-03-07 14:51:10.518536,0.001
42,2024-03-07 14:51:10.518537,0.001
43,2024-03-07 14:51:10.518538,0.001
44,2024-03-07 14:51:10.518539,0.001
45,2024-03-07 14:51:10.518539,0.001
46,2024-03-07 14:51:10.518540,0.001
47,2024-03-07 14:51:10.518542,0.001
48,2024-03-07 14:51:10.518543,0.001
49,2024-03-07 14:51:10.518544,0.000
50,2024-03-07 14:51:10.518544,0.001
51,2024-03-07 14:51:10.518545,0.001
52,2024-03-07 14:51:10.518546,3.784
53,2024-03-07 14:51:10.518547,0.003
54,2024-03-07 14:51:10.518548,0.003
55,2024-03-07 14:51:10.518548,0.002
56,2024-03-07 14:51:10.518549,0.000
