CPU,Time,GHz
2,2024-03-09 12:40:20.174948,0.124
3,2024-03-09 12:40:20.174951,0.018
0,2024-03-09 12:40:20.341720,0.028
1,2024-03-09 12:40:20.341727,0.015
2,2024-03-09 12:40:20.341730,0.095
3,2024-03-09 12:40:20.341732,0.026
0,2024-03-09 12:40:20.515183,0.016
1,2024-03-09 12:40:20.515190,0.022
2,2024-03-09 12:40:20.515192,0.072
3,2024-03-09 12:40:20.515195,0.029
0,2024-03-09 12:40:20.683330,0.013
1,2024-03-09 12:40:20.683340,0.010
2,2024-03-09 12:40:20.683558,0.046
3,2024-03-09 12:40:20.683563,0.011
0,2024-03-09 12:40:20.852969,0.011
1,2024-03-09 12:40:20.852979,0.014
2,2024-03-09 12:40:20.852983,0.233
3,2024-03-09 12:40:20.852985,0.016
